name,net-worth,number-of-dots
A. Jayson Adair,2000000000,2
Abdulla Al Futtaim & family,3300000000,3
Abdulla bin Ahmad Al Ghurair & family,3900000000,4
Abdulsamad Rabiu,5200000000,5
Abhay Firodia,4300000000,4
Abhay Soi,2000000000,2
Abigail Bennett,1100000000,1
Abigail Johnson,29000000000,29
Acharya Balkrishna,3800000000,4
Adam Foroughi,2200000000,2
Adam Kwok,2200000000,2
Adam Neumann,2300000000,2
Adi Godrej,3800000000,4
Adriaan Mol,1800000000,2
Adrian Paval,1400000000,1
Aerin Lauder,2100000000,2
Agnete Kirk Thinggaard,6500000000,7
Agoes Projosasmito,5900000000,6
Agustín Coppel Luken,1600000000,2
Ahmet Calik,1500000000,2
Airat Shaimiev,2400000000,2
Ajay Jaisinghani,1600000000,2
Ajay Parekh,2400000000,2
Ajay Piramal,2800000000,3
Akio Nitori,4600000000,5
Akira Mori & family,3700000000,4
Alain Bouchard,8000000000,8
Alain Merieux & family,6600000000,7
Alain Taravella,1500000000,2
Alain Wertheimer,36800000000,37
Alan Gerry,1500000000,2
Alan Howard,3900000000,4
Alan Miller & family,1700000000,2
Alan Trefler,2600000000,3
Alan Wilson,2800000000,3
Alan Zekelman,1700000000,2
Albert Avdolyan,2900000000,3
Albert Chao & family,4900000000,5
Albert Nahmad,1300000000,1
Albert Shigaboutdinov,2200000000,2
Alberto Alcocer,1300000000,1
Alberto Bombassei,2500000000,3
Alberto Coppel Luken,1800000000,2
Alberto Cortina,1400000000,1
Alberto Palatchi,2100000000,2
Alberto Prada,2700000000,3
Alberto Siccardi & family,2800000000,3
Alceu Elias Feldmann & family,3700000000,4
Alec Gores,2200000000,2
Alejandro Baillères Gual & family,8100000000,8
Alejandro Bulgheroni,4900000000,5
Alejandro Santo Domingo,2800000000,3
Ales Zavoral,2000000000,2
Alessandra Garavoglia,3700000000,4
Alessandro Rosano,1400000000,1
Alex Beard,1900000000,2
Alex Birkenstock,1900000000,2
Alex Shevchenko,1900000000,2
Alexander Abramov,6400000000,6
Alexander Frolov,2800000000,3
Alexander Gerko,10400000000,10
Alexander Karp,2900000000,3
Alexander Knauf,1000000000,1
Alexander Lutsenko & family,2500000000,3
Alexander Mamut,1200000000,1
Alexander Mikhalskiy,1300000000,1
Alexander Otto,8800000000,9
Alexander Ponomarenko,2000000000,2
Alexander Ramlie,2800000000,3
