Name,HexCode,Total Wealth,Billions
A. Jayson Adair,Orange,2.33E+11,1
A. Jayson Adair,Orange,1.95E+11,1
Abdulla Al Futtaim & family,Orange,1.94E+11,1
Abdulla Al Futtaim & family,Orange,1.77E+11,1
Abdulla Al Futtaim & family,Orange,1.41E+11,1
Abdulla bin Ahmad Al Ghurair & family,Orange,1.33E+11,1
Abdulla bin Ahmad Al Ghurair & family,Orange,1.28E+11,1
Abdulla bin Ahmad Al Ghurair & family,Orange,1.21E+11,1
Abdulsamad Rabiu,Orange,1.16E+11,1
Abdulsamad Rabiu,Orange,1.14E+11,1
Abdulsamad Rabiu,Orange,1.1E+11,1
Abdulsamad Rabiu,Orange,1.06E+11,1
Abdulsamad Rabiu,Orange,1.03E+11,1
Abhay Firodia,Orange,1.02E+11,1
Abhay Firodia,Orange,99500000000,1
Abhay Firodia,Orange,91000000000,1
Abhay Firodia,Orange,84000000000,1
Abhay Soi,Orange,78400000000,1
Abhay Soi,Orange,77400000000,1
Abigail Bennett,Orange,77000000000,1
Abigail Johnson,Orange,72300000000,1
Abigail Johnson,Orange,67800000000,1
Abigail Johnson,Orange,64300000000,1
Abigail Johnson,Orange,62300000000,1
Abigail Johnson,Orange,58500000000,1
Abigail Johnson,Orange,43800000000,1
Abigail Johnson,Orange,43400000000,1
Abigail Johnson,Orange,43400000000,1
Abigail Johnson,Orange,42800000000,1
Abigail Johnson,Orange,40900000000,1
Abigail Johnson,Orange,39600000000,1
Abigail Johnson,Orange,39200000000,1
Abigail Johnson,Orange,38900000000,1
Abigail Johnson,Orange,38800000000,1
Abigail Johnson,Orange,38500000000,1
Abigail Johnson,Orange,38500000000,1
Abigail Johnson,Orange,38000000000,1
Abigail Johnson,Orange,37300000000,1
Abigail Johnson,Orange,36900000000,1
Abigail Johnson,Orange,36800000000,1
Abigail Johnson,Orange,36800000000,1
Abigail Johnson,Orange,36400000000,1
Abigail Johnson,Orange,35600000000,1
Abigail Johnson,Orange,34000000000,1
Abigail Johnson,Orange,33600000000,1
Abigail Johnson,Orange,33500000000,1
Abigail Johnson,Orange,33500000000,1
Abigail Johnson,Orange,33100000000,1
Abigail Johnson,Orange,33100000000,1
Acharya Balkrishna,Orange,33000000000,1
